ANIMAIS SÃO MUITO MALTRATADOS, 4
SEM ÁGUA E SEM COMIDA ATÉ MORREREM, 5
FOI ATACADO POR OUTRO CÃO DE GRANDE PORTE, 3
INTUITO DE LOTEAR E VENDER, 3
FÁBRICA DESATIVADA, meida
DIVERSOS PNEUS, 5
RESERVATÓRIOS DE ÁGUA DESCOBERTOS, 4
LIXO ACUMULADO, 4
FOCOS DA DENGUE, 5
PRÓXIMO A BARRACA DO MINEIRO, pouco_grave
CRIA UM CÃO DE PORTE MÉDIO, 3
O ANIMAL NÃO É TRATADO COMO DEVERIA, 3
PRESO COM CORRENTE CURTA, 3
FICA SEM ALIMENTAÇÃO, 3
SEM ÁGUA E EXPOSTO AO SOL E A CHUVA, 3
RETIRANDO MAIS ÁRVORES E SOLO DE UM BARRANCO, 3
ACUMULA MUITO LIXO NA CALÇADA, 3
HÁ UMA INFESTAÇÃO DE RATOS NO LOCAL, 3
EM UMA VILA RESIDENCIAL, 3
CRIAM DIVERSOS CÃES DE MÉDIO E GRANDE PORTE, 3
OS ANIMAIS FICAM EM LOCAL SUJO COM FEZES E URINA, 3
OS ANIMAIS FICAM SEM ALIMENTAÇÃO E ÁGUA, 4
POSSUI DIVERSOS PÁSSAROS SILVESTRES PRESOS EM GAIOLAS, 4
POSSUI UM CACHORRO DE PORTE PEQUENO AMARRADO, 3
OS ANIMAIS ENCONTRAM-SE MUITO DEBILITADO, 3

